,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,ALMOHADITAS 2 SALVADO X KG.,"7850,00","6190,00",CEREALES,1114
,,ALMOHADITAS CHOCOLATE X KG.,"12640,00","9960,00",CEREALES,1115
,,ALMOHADITAS FRUTILLA X KG.,"11790,00","9280,00",CEREALES,1117
,,ALMOHADITAS LIMON X KG.,"11790,00","9280,00",CEREALES,1118
,,"ALOE VERA DIGESTIVO BEBIBLE X250 ""NATIER""","11130,00","10400,00",SUPLEMENTOS,2323
,,"ALOE VERA JUGO X 250 ML ""NATIER""","10230,00","8920,00",SUPLEMENTOS,2044
,,"ALOE VERA JUGO X 500 ML"" NATIER""","16820,00","15740,00",SUPLEMENTOS,2325
,,ANILLOS DE AVENA Y MIEL X KG.,"10740,00","8460,00",CEREALES,1121
,,ANILLOS FRUTADOS X KG.,"9710,00","7630,00",CEREALES,1122
,,ANIS EN GRANO X KG.,"15150,00","11930,00",ESPECIAS,1123
,,ANIS ESTRELLADO X KG.,"72820,00","58270,00",ESPECIAS,1124
,,ARANDANOS CON CHOCO xKG,"51610,00","44020,00","DULCES, MIEL Y CHOCOLATES",2002
,,ARANDANOS CONGELADOS X KG,"16150,00","13790,00",PRODUCTOS CONGELADOS,1126
,,ARANDANOS DESHIDRATADOS X KG,"18590,00","14930,00",DESHIDRATADOS,1127
,,ARROZ INTEGRAL X KG.,"3270,00","2580,00",GRANOS Y LEGUMBRES,1131
,,ARROZ YAMANI X KG.,"4460,00","3580,00",GRANOS Y LEGUMBRES,1133
,,"ASHWAGANDHA X 60 CAPSULAS ""SOMOS SETA""","31520,00","27700,00",SUPLEMENTOS,2073
,,"ASHWAGANDHA X 60 CC ""SOMOS SETA""","24420,00","21460,00",SUPLEMENTOS,2411
,,AVELLANAS CON CHOCO XKG,"56230,00","47960,00","DULCES, MIEL Y CHOCOLATES",2010
,,AVELLANAS SIN CASCARA X KG,"56150,00","44200,00",FRUTOS SECOS,1134
,,AVENA ARROLLADA GRUESA X KG,"3520,00","2780,00",CEREALES,1135
,,AVENA BIO SIN GLUTEN 500gr,"5800,00","4960,00",PRODUCTOS SIN TACC,2509
,,AVENA INSTANTÁNEA  X KG,"3520,00","2770,00",CEREALES,1136
,,"AVENA INSTANTANEAX 400 g ""SIN TACC""","2990,00","2550,00",PRODUCTOS SIN TACC,2355
,,AVENA TRADICIONAL X KG.,"3530,00","2770,00",CEREALES,1137
,,AZAFRAN ESPAÑOL X CAPSULA.,"3730,00","3020,00",ESPECIAS,1138
,,AZUCAR IMPALPABLE X KG.,"4060,00","3200,00","AZUCAR, CACAO Y REPOSTERIA",1140
,,AZUCAR MASCABO X KG,"7650,00","6200,00","AZUCAR, CACAO Y REPOSTERIA",1141
,,AZUCAR NEGRA X KG.,"4030,00","3170,00","AZUCAR, CACAO Y REPOSTERIA",1142
,,BANANITAS CON CHOCO,"59200,40","50494,45","DULCES, MIEL Y CHOCOLATES",2455
,,"BARRA ""INTEGRA""","2400,00","2072,50",SNACK,2460
,,"BARRA CROWIE  ARROZ ""SIN TACC""","1100,00","960,00",PRODUCTOS SIN TACC,2103
,,BARRA CHOCO 70% CON STEVIA x 100 g - COLONIAL,"5470,00","4660,00","DULCES, MIEL Y CHOCOLATES",2003
,,BARRA CHOCO 80% X 100 g - COLONIAL,"7260,00","6200,00","DULCES, MIEL Y CHOCOLATES",2268
,,BARRA CHOCO SIN AZUCAR x 100 g - COLONIAL,"5180,00","4430,00","DULCES, MIEL Y CHOCOLATES",2004
,,BARRA CHOCOLATE MAPRICUBER xKg,"25010,00","21340,00","AZUCAR, CACAO Y REPOSTERIA",2497
,,BARRA MUECA PROTEICA ,"2635,00","2325,00",SNACK,2484
,,BARRA MUECAS X45GR,"1880,00","1670,00",SNACK,2014
,,"BARRA PROTEICA  ""INTEGRA""","3150,00","2680,00",SNACK,2506
,,"BARRAS ""CRUDDA""  X40Gr - SIN TACC","2900,00","2480,00",SNACK,2074
,,BASTONCITO SALVADO TRIGO Y AVENA X KG.,"7910,00","6230,00",CEREALES,1147
,,BERENJENAS CONDIM.X 200 GR,"5010,00","4030,00",ENCURTIDOS,1150
,,BICARBONATO  DE SODIO X KG,"3680,00","2890,00",ESPECIAS,2089
,,BICARBONATO DE SODIO X 50 GR,"500,00","380,00",ESPECIAS,1151
,,BISGLICINATO DE MAGNESIO NATIER 50 cápsulas,"20470,00","19140,00",SUPLEMENTOS,2463
,,BLEND DE TE X 30g,"2000,00","1700,00",INFUSIONES Y HIERBAS,2326
,,BLEND DE TE X KG,"30000,00","27000,00",INFUSIONES Y HIERBAS,2415
,,BOLDO X KG,"23310,00","18670,00",INFUSIONES Y HIERBAS,1154
,,BOLITAS DE CHOCOLATE X KG.,"10870,00","8720,00",CEREALES,1155
,,BOMBITA DEFUMACION X 4 uni. - SAGRADA MADRE,"1120,00","1030,00",PALADEAR HOME,2328
,,CACAO AMARGO DE BRASIL X KG.,"38990,00","31270,00","AZUCAR, CACAO Y REPOSTERIA",1163
,,CAFE BRASIL BB X 250 ,"19230,00","17410,00",INFUSIONES Y HIERBAS,2381
,,CAFE COLOMBIA HUILA BB X250,"20250,00","18340,00",INFUSIONES Y HIERBAS,2382
,,CAFE DESCAFEINADO EXOTIC COLOMBIA BB X250,"24970,00","22630,00",INFUSIONES Y HIERBAS,2383
,,"CAFE VERDE X30 COMPRIMIDOS ""EL NATURALISTA""","8600,00","6780,00",SUPLEMENTOS,2216
,,CAJA CHOCOLATE,"7500,00","6500,00","DULCES, MIEL Y CHOCOLATES",2475
,,CAJA FUERZA DIVINA,"27000,00","23110,88",PALADEAR HOME,2442
,,"CALCIO+VITAMINA ""D"" 60 uni.  ""EL NATURALISTA""","8770,00","7480,00",SUPLEMENTOS,2385
,,"CALDO DE HUESO "" MEDICINA ANCESTRAL""","6910,00","6440,00",PRODUCTOS CONGELADOS,2278
,,"CALDO DE VERDURA SIN SAL ""El Naturalista"" x10sobres","4240,00","3620,00",ESPECIAS,2154
,,"CALDO DE VERDURAS CON SAL ""El Naturalista"" x10sobres","3740,00","3200,00",ESPECIAS,2155
,,CANELA EN RAMA X KG,"89250,00","71440,00",ESPECIAS,1167
,,CANELA MOLIDA X KG.,"17350,00","13920,00",ESPECIAS,1168
,,CARAMELOS  X  UNIDAD,"200,00","150,00",CARAMELOS,1170
,,CARDAMOMO X KG.,"167780,01","134250,00",ESPECIAS,1176
,,"CARDO MARIANO TINTURA MADRE X 60 CC ""EL NATURALISTA""","10290,00","8780,00",SUPLEMENTOS,1110
,,"CARDOMARIANO x 30 cápsulas ""EL NATURALISTA""","16580,00","13670,00",SUPLEMENTOS,2080
,,"CAROTENO X 10 cápsulas ""EL NATURALISTA""","1860,00","1650,00",SUPLEMENTOS,2218
,,"CARQUEJA TINTURA MADRE  ""EL NATURALISTA""","6271,79","5349,47",SUPLEMENTOS,2351
,,"CASCARA SAGRADA GOTAS X 60 CC ""EL NATURALISTA""","9270,00","7940,00",SUPLEMENTOS,2170
,,CASCARILLA DE CACAO X KG.,"7990,00","6410,00","AZUCAR, CACAO Y REPOSTERIA",1178
,,CASTAÑAS CAJÚ VIETNAM  X KG,"23500,00","20670,00",FRUTOS SECOS,1180
,,CEBOLLA EN ESCAMAS X KG.,"13870,00","11150,00",ESPECIAS,1182
,,CEDRON X KG,"42860,00","34300,00",INFUSIONES Y HIERBAS,2038
,,CENTELLA ASIATICA X 50 NATIER,"19880,00","16950,00",SUPLEMENTOS,2187
,,CENTELLA ASIATICA+GINKGOBILOBA+TEVERDE+HIBISCUS,"13210,00","11510,00",SUPLEMENTOS,2281
,,CERA DE MIEL DEPILATORIA ,"9070,00","7740,00",SUPLEMENTOS,2290
,,"CEREZAS AL MARRASCHINO X 170 g ""AGROIANNI""","6920,00","5560,00",LINEA GOURMET,1188
,,"CEREZAS AL MARRASCHINO X 330 g ""AGROIANNI""","9110,00","7320,00",LINEA GOURMET,1193
,,CIRUELA PRESIDENTE X KG.,"19660,00","15770,00",DESHIDRATADOS,1206
,,CIRUELAS D`AGEN C/CAROZO X KG,"11410,00","9140,00",DESHIDRATADOS,1207
,,CIRUELAS TIERNIZADAS S/C X KG,"15040,00","12090,00",DESHIDRATADOS,1208
,,CITRATO DE MAGNESIO  XKG ,"25070,00","22790,00",SUPLEMENTOS,2483
,,"CITRATO DE MAGNESIO ""EL  NATURALISTA""","9820,00","8060,00",SUPLEMENTOS,2076
,,"CITRATO DE POTASIO ""EL NATURALISTA""","9690,00","8100,00",SUPLEMENTOS,2077
,,CLAVO DE OLOR ENTERO X KG.,"46090,00","36930,00",ESPECIAS,1209
,,CLORURO DE MAGNESIO X KG,"5690,00","4900,00",SUPLEMENTOS,2432
,,COCO EN ESCAMAS X KG,"27130,00","21720,00","AZUCAR, CACAO Y REPOSTERIA",1211
,,COCO RALLADO X KG.,"15830,00","12730,00","AZUCAR, CACAO Y REPOSTERIA",1212
,,"COLA DE PAVO EXTRACTO 60 cc ""SOMOS SETAS""","24420,00","21460,00",SUPLEMENTOS,2469
,,COLA DE PAVO x 60 CAPS SOMOS SETA,"31520,00","24830,00",SUPLEMENTOS,2508
,,COLADOR COMUN ROSE,"6660,00","6110,00",PALADEAR HOME,2125
,,"COLAGENO HIDROLIZADO CAPSULA X 50 CÁPSULAS ""NATIER""","24430,00","21280,00",SUPLEMENTOS,2049
,,"COLAGENO HIDROLIZADO X KG ""PEPTAN B 2000 LD""","43310,00","34670,00",SUPLEMENTOS,2031
,,"COLAGENO X 10 COMPRIMIDOS ""EL NATURALISTA""","2860,00","2250,00",SUPLEMENTOS,2222
